Internal ID Variant (Do Not Edit);Category;SKU;Items Name (Do Not Edit);ecommerce item? (Yes/No);Pre-order ? (Yes/No);Processing days;Weight (gm);Length (cm);Width (cm);Height (cm);Condition;Brand Name;Variant name;Basic - Price;Image 1 (for Online Store);Image 2 (for Online Store);Image 3 (for Online Store);Image 4 (for Online Store);Image 5 (for Online Store);Image 6 (for Online Store);Image 7 (for Online Store);Image 8 (for Online Store);Image 9 (for Online Store);Image 10 (for Online Store);Image 11 (for Online Store);Image 12 (for Online Store);In Stock;Track Stock;Track Alert;Stock Alert;Track Cost;Cost Amount
90729347;LIQUID;4208;Khalifa Mango;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729348;LIQUID;4087;Grappy 60ml;No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729349;LIQUID;4206;Khalifa Blackcurrant;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729350;ACCESSORIES;1006;Cartridge Kuy Pod;No;No;0;;;;;;Unbranded;;35000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729352;LIQUID;4157;Iceberg : Kiwiberry;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729354;LIQUID;4140;Hexohm Subohm Blueberry;No;No;0;;;;;;Unbranded;;140000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729358;LIQUID;4024;Bananarilla 60ml;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729362;LIQUID;4046;Coconarilla 60ml;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729364;LIQUID;4284;Space Mango;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729365;ACCESSORIES;3048;Cotton Atomix Premium Blend V2;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729368;LIQUID;4003;Ala Carte Banana 60ml;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729369;LIQUID;4048;Cookies Banana;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729370;LIQUID;4221;Lakley 60ml Kpop;No;No;0;;;;;;Unbranded;;140000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729371;LIQUID;4011;Apple Fuji Salt;No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729372;LIQUID;4088;Grappy Blast Salt;No;No;0;;;;;;Unbranded;;75000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729373;LIQUID;4064;Emkay : Coffeemel;No;No;0;;;;;;Unbranded;;140000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729375;ACCESSORIES;3049;Cotton Bacon Prime;No;No;0;;;;;;Unbranded;;65000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729376;LIQUID;4071;Exo Salt : Grape;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729377;LIQUID;4005;Ala Carte Cream Biscuit 60ml;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729378;LIQUID;4214;Komodo Breakfast : Kiss of Death 60ml;No;No;0;;;;;;Unbranded;;125000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729380;ACCESSORIES;3104;Toolkit DIY;No;No;0;;;;;;Unbranded;;125000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729381;LIQUID;4124;Hero57 : Subohm Blueberry Donuts The Original;No;No;0;;;;;;Unbranded;;145000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729382;ACCESSORIES;3053;Cartridge Exceed Grip;No;No;0;;;;;;Unbranded;;55000;;;;;;;;;;;;;5;Yes;Yes;1;No;
90729383;LIQUID;4222;Lemon Poundcake;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729385;LIQUID;4223;Forky;No;No;0;;;;;;Unbranded;;160000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729388;LIQUID;4161;Iceberg Salt : Kiwiberry;No;No;0;;;;;;Unbranded;;75000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729390;LIQUID;4068;Exo : Mango;No;No;0;;;;;;Unbranded;;90000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729391;LIQUID;4066;Emkay : King's Reserved Salt;No;No;0;;;;;;Unbranded;;90000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729392;ACCESSORIES;3050;Cotton Kendo Gold;No;No;0;;;;;;Unbranded;;80000;;;;;;;;;;;;;3;Yes;Yes;1;No;
90729393;ACCESSORIES;3119;Coil Voopoo Vinci 1.2 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729394;ATOMIZER;2011;DoS MTL RDA by Advken;No;No;0;;;;;;Unbranded;;200000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729395;LIQUID;4006;Ala Carte Salt Cream Biscuit 30ml;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;2;Yes;Yes;1;No;
90729397;LIQUID;4035;Blunanarilla Pods Friendly;No;No;0;;;;;;Unbranded;;105000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729399;ACCESSORIES;3014;Battery Sony VTC 4;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729400;LIQUID;4010;Ala Carte Salt Cream Poundcake 30ml;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729401;LIQUID;4213;Komodo Breakfast : Not So Lazy 60ml;No;No;0;;;;;;Unbranded;;125000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729403;ACCESSORIES;3015;Battery Sony VTC 5;No;No;0;;;;;;Unbranded;;60000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729404;ACCESSORIES;3016;Battery Sony VTC 6;No;No;0;;;;;;Unbranded;;65000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729405;ACCESSORIES;3055;Cotton Holy Fiber;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729409;LIQUID;4175;Lunar Sweet Mango;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729410;LIQUID;4012;Apple Fuji 60ml;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729411;LIQUID;4055;Dark Luna 60ml;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729415;LIQUID;4272;Real Salt Vanilla Gelato;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729416;LIQUID;4008;Ala Carte Salt Cream Custard 30ml;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729418;LIQUID;4113;Hero57 : Moon Rabbit;No;No;0;;;;;;Unbranded;;145000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729422;ACCESSORIES;3025;Charger Blackcell BU2;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729423;LIQUID;4127;Hero57 : Susu Bro 60ml;No;No;0;;;;;;Unbranded;;145000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729426;ACCESSORIES;3023;Charger AWT C2;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729428;ACCESSORIES;3024;Charger AWT C4;No;No;0;;;;;;Unbranded;;200000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729430;ACCESSORIES;3047;Cotton Atomix Luxury;No;No;0;;;;;;Unbranded;;65000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729433;LIQUID;4207;Khalifa Honeydew;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729434;LIQUID;4139;Lunar Hexohm Strawberry;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729437;ACCESSORIES;3075;Plato Flush Type Cutter;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729442;ACCESSORIES;3105;Tweezer Ceramic;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729446;LIQUID;4133;Hero57 Salt : NYX Grape Apple;No;No;0;;;;;;Unbranded;;95000;;;;;;;;;;;;;0;Yes;Yes;1;No;
136052217;LIQUID;;Cookies & Cream Salt;No;No;0;;;;;;Unbranded;Strawberry Cookies;100000;;;;;;;;;;;;;0;Yes;Yes;0;No;
136052218;LIQUID;;Cookies & Cream Salt;No;No;0;;;;;;Unbranded;Cookies Milk Cream;100000;;;;;;;;;;;;;1;Yes;Yes;0;No;
136052219;LIQUID;;Cookies & Cream Salt;No;No;0;;;;;;Unbranded;Brown Cookies;100000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729449;ACCESSORIES;3116;Coil Voopoo Vinci 0.3 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729452;LIQUID;4135;Hero57 Salt : NYX Mango Raspberry;No;No;0;;;;;;Unbranded;;95000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729454;LIQUID;4205;Khalifa Salt Orange;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729457;LIQUID;4258;Oat Drips Salt V3 (Banana);No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729461;ACCESSORIES;3045;Adaptor Connector Vinci;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729463;LIQUID;4070;Exo : Grape;No;No;0;;;;;;Unbranded;;90000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729466;LIQUID;4084;Golden Layers;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729470;ACCESSORIES;3098;RBK Kit Aegis Boost 0.4Ohm;No;No;0;;;;;;Unbranded;;55000;;;;;;;;;;;;;2;Yes;Yes;1;No;
90729473;LIQUID;4022;Bananalicious 60ml;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729476;LIQUID;4007;Ala Carte Cream Custard 60ml;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729477;ACCESSORIES;3117;Coil Voopoo Vinci 0.45 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729483;LIQUID;4202;Khalifa Salt Blackcurrant;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729487;LIQUID;4067;Emkay : Tiramisu 60ml;No;No;0;;;;;;Unbranded;;170000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729488;LIQUID;4155;Iceberg : Blackdew;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729489;LIQUID;4215;Komodo Breakfast : Pink Beach 60ml;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729490;LIQUID;4134;Hero57 Salt : NYX Grape Peach;No;No;0;;;;;;Unbranded;;95000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729491;LIQUID;4158;Iceberg : Mangosalsa;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729492;LIQUID;4039;Bukan Liquid KW Salt Anggur Merah;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729493;LIQUID;4023;Bananalicious Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729495;LIQUID;4049;Cookies Cream Berry;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729496;LIQUID;4132;Hero57 Salt : Moon Rabbit;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729501;LIQUID;4190;Juice O Rama V1;No;No;0;;;;;;Unbranded;;155000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729502;LIQUID;;Oat Drips Salt V2 (Mung Bean);No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729506;ACCESSORIES;;Cotton Native Wicks Platinum Plus;No;No;0;;;;;;Unbranded;;60000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729508;LIQUID;;English Breakfast V1 Oat Milk Bluberry;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729515;MOD / POD;;Smok RPM 80 Kit;No;No;0;;;;;;Unbranded;;380000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729521;ACCESSORIES;;Coil Voopoo Vinci 1.0 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729523;LIQUID;;My Oats 60ml Coffee;No;No;0;;;;;;Unbranded;;135000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729524;LIQUID;;My Oats 60ml Crackers;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729525;ACCESSORIES;;RBK Swtch Caliburn;No;No;0;;;;;;Unbranded;;55000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729526;LIQUID;;Butter Coffee Luwak Salt;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729529;MOD / POD;;Aspire Minican;No;No;0;;;;;;Unbranded;;160000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729530;ACCESSORIES;;Cartridge Aspire Minican;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729532;LIQUID;;Bukan Liquid KW Amer;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729535;LIQUID;;English Breakfast V2 Oat Milk Citrus;No;No;0;;;;;;Unbranded;;120000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729536;LIQUID;;Cream Raisin 60ml V2 Dessert;No;No;0;;;;;;Unbranded;;135000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729538;LIQUID;;Lakley 60ml Bpop;No;No;0;;;;;;Unbranded;;140000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729541;ACCESSORIES;;Coil Voopoo Vinci 0.2 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729542;MOD / POD;;Aegis Pod;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729543;LIQUID;;My Oats 60ml Milo;No;No;0;;;;;;Unbranded;;135000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729554;LIQUID;;Subohm Blueberry Donut 30ml;No;No;0;;;;;;Unbranded;;80000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729556;LIQUID;;My Oats 60ml Choco Banana;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729557;LIQUID;;Emkay : Coffeemel Pods Friendly;No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729561;ACCESSORIES;;Coil Voopoo Vinci 0.8 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729562;ACCESSORIES;;Tank Empty Vinci Drag S/X;No;No;0;;;;;;Unbranded;;50000;;;;;;;;;;;;;1;Yes;Yes;0;No;
90729563;LIQUID;;Kaze Salt : Polo Ice;No;No;0;;;;;;Unbranded;;80000;;;;;;;;;;;;;0;Yes;Yes;0;No;
